X Ref,Name,Receipt Text,Ranking,Loyality Required,Start Date,End Date,Active,Qualifiers,,,,,
,,,,,,,,Retail Item Group,Minimum Identifier,Minimum Value,Discount Type,Discount Value,Reduces Tax
1163925,CV4 LFDSTELP TX - 2/$5.50 SP,2/$5.50 SP,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX - 2/$5.50 SP,Quantity,2,Set Retail,5.5,y
1163854,CV4 LFDSTELP TX - 2/$6.00,2/$6.00,0,n,2019-08-13,,y,401 LFDSTELP TX - 2/$6.00,Quantity,2,Set Retail,6,y
1163921,CV4 LFDSTELP TX - 2/$7.00,2/$7.00,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX - 2/$7.00,Quantity,2,Set Retail,7,y
1163920,CV4 LFDSTELP TX 2/$9.50,2/$9.50,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX 2/$9.50,Quantity,2,Set Retail,9.5,y
1163912,CV4 LFDSTELP TX WYB $2.00 SP,$2.00 SP,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX WYB $2.00 SP,Quantity,2,Set Retail,4,y
1163905,CV4 LFDSTELP TX WYB $5.69 SP,$5.69 SP,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX WYB $5.69 SP,Quantity,2,Set Retail,11.38,y
1163908,CV4 LFDSTELP TX WYB $6.99 SP,$6.99 SP,0,n,2019-08-19,2019-10-31,y,401 LFDSTELP TX WYB $6.99 SP,Quantity,2,Set Retail,13.98,y
1163903,CV4 LFDSTELP TX WYB $8.99 SP,$8.99 SP,0,n,2019-08-19,2019-10-31,y,401 LFDSTELP TX WYB $8.99 SP,Quantity,2,Set Retail,17.98,y
1163913,CV4 LFDSTELP TX WYB3 $2.00 SP,$2.00 SP,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX WYB $2.00 SP,Quantity,3,Set Retail,6,y
1163906,CV4 LFDSTELP TX WYB3 $5.69 SP, $5.69 SP,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX WYB $5.69 SP,Quantity,3,Set Retail,17.07,y
1163909,CV4 LFDSTELP TX WYB3 $6.99 SP,$6.99 SP,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX WYB $6.99 SP,Quantity,3,Set Retail,20.97,y
1163904,CV4 LFDSTELP TX WYB3 $8.99 SP,$8.99 SP,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX WYB $8.99 SP,Quantity,3,Set Retail,26.97,y
1164328,CV4 LFDSTELP TX3 - 2/$1.75,3 - 2/$1.75,0,n,2019-09-03,2019-10-31,y,401 LFDSTELP TX - 2/$1.75,Quantity,3,Set Retail,5.25,y
1163843,CV4 PREMRTX TX - 2/$2.50,2/$2.50,0,n,2019-08-13,,y,401 PREMRTX TX - 2/$2.50,Quantity,2,Set Retail,2.5,y
1163844,CV4 PREMRTX TX - 2/$3.00,2/$3.00,0,n,2019-08-13,,y,401 PREMRTX TX - 2/$3.00,Quantity,2,Set Retail,3,y
1163845,CV4 PREMRTX TX - 2/$3.50,2/$3.50,0,n,2019-08-13,,y,401 PREMRTX TX - 2/$3.50,Quantity,2,Set Retail,3.5,y
1163846,CV4 PREMRTX TX - 2/$4.00,2/$4.00,0,n,2019-08-13,,y,401 PREMRTX TX - 2/$4.00,Quantity,2,Set Retail,4,y
1163848,CV4 PREMRTX TX - 2/$5.00,2/$5.00,0,n,2019-08-13,,y,401 PREMRTX TX - 2/$5.00,Quantity,2,Set Retail,5,y
1163917,CV4 REPNATTX TX WYB3 $7.99,$7.99 ,0,n,2019-08-16,2019-09-02,y,401 REPNATTX TX WYB $7.99,Quantity,3,Set Retail,23.97,y
1164308,CV4-ADAMSBVG NC 2/$11.00,2/$11.00,0,n,2019-08-29,,y,401-ADAMSBVG NC 2/$11.00,Quantity,2,Set Retail,11,y
1164309,CV4-BUDASHVL NC 2/$11.00,2/$11.00,0,n,2019-08-29,,y,401-BUDASHVL NC 2/$11.00,Quantity,2,Set Retail,11,y
1164319,CV4-CAFFEY NC 2/$13.00,2/$13.00,0,n,2019-08-30,,y,401-CAFFEY NC 2/$13.00,Quantity,2,Set Retail,13,y
1164320,CV4-CARLPREM NC 2/$13.00,2/$13.00,0,n,2019-08-30,,y,401-CARLPREM NC 2/$13.00,Quantity,2,Set Retail,13,y
1164310,CV4-CRLNAEGL NC 2/$11.00,2/$11.00,0,n,2019-08-29,,y,401-CRLNAEGL NC 2/$11.00,Quantity,2,Set Retail,11,y
1164317,CV4-CSTLBVNC NC 2/$11.00,2/$11.00,0,n,2019-08-29,,y,401-CSTLBVNC NC 2/$11.00,Quantity,2,Set Retail,11,y
1164321,CV4-CSTLBVNC NC 2/$13.00,2/$13.00,0,n,2019-08-30,,y,401-CSTLBVNC NC 2/$13.00,Quantity,2,Set Retail,13,y
1164311,CV4-CTYBVGNC NC 2/$11.00,2/$11.00,0,n,2019-08-29,,y,401-CTYBVGNC NC 2/$11.00,Quantity,2,Set Retail,11,y
1163668,CV4-FL ALL CRA/MLA16Z 3/$4.00 (2),CRA/MLA16Z 3/$4.00,0,n,2019-08-03,2019-09-30,y,401 - FLA ALL CRA/MLA16Z 3/$4.00,Quantity,3,Set Retail,4,y
1164312,CV4-HARRISBV NC 2/$11.00,2/$11.00,0,n,2019-08-29,,y,401-HARRISBV NC 2/$11.00,Quantity,2,Set Retail,11,y
1164322,CV4-HEALYWHL NC 2/$13.00,2/$13.00,0,n,2019-08-30,,y,401-HEALYWHL NC 2/$13.00,Quantity,2,Set Retail,13,y
1163929,CV4-LKBEVGE NY 2/$13.99,CV4-LKBEVGE NY 2/$13.99,0,n,2019-08-20,,y,401-LKBEVGE NY 2/$13.99,Quantity,2,Set Retail,13.99,y
1164323,CV4-LONGBEVG NC 2/$13.00,2/$13.00,0,n,2019-08-30,,y,401-LONGBEVG NC 2/$13.00,Quantity,2,Set Retail,13,y
1164324,CV4-MIMSDIST NC 2/$13.00,2/$13.00,0,n,2019-08-30,,y,401-MIMSDIST NC 2/$13.00,Quantity,2,Set Retail,13,y
1164326,CV4-NCUNITED NC 2/$13.00,2/$13.00,0,n,2019-08-30,,y,401-NCUNITED NC 2/$13.00,Quantity,2,Set Retail,13,y
