specialXRefID,specialName,specialReceiptText,priorityRanking,requiresLoyalty,startDate,endDate,status,retailItemGroupName,minimumIdentifier,minimumValue,discountType,discountValue,taxReduced
1156339,1005-CamNew $9 OFF(NT)-17,CamNew $9 OFF(NT),5,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,17.0000,Price Discount,9.0000,n
1156104,1005-Loy CamNew $1 OFF-10,Loy CamNew $1 OFF-10,12,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,10.0000,Price Discount,1.0000,y
1156105,1005-Loy CamNew $1 OFF-11,Loy CamNew $1 OFF-11,11,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,11.0000,Price Discount,1.0000,y
1156106,1005-Loy CamNew $1 OFF-12,Loy CamNew $1 OFF-12,10,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,12.0000,Price Discount,1.0000,y
1156107,1005-Loy CamNew $1 OFF-13,Loy CamNew $1 OFF-13,9,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,13.0000,Price Discount,1.0000,y
1156108,1005-Loy CamNew $1 OFF-14,Loy CamNew $1 OFF-14,8,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,14.0000,Price Discount,1.0000,y
1156144,1005-Loy CamNew $1 OFF-15,Loy CamNew $1 OFF-15,7,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,15.0000,Price Discount,1.0000,y
1156145,1005-Loy CamNew $1 OFF-16,Loy CamNew $1 OFF-16,6,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,16.0000,Price Discount,1.0000,y
1156146,1005-Loy CamNew $1 OFF-17,Loy CamNew $1 OFF-17,5,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,17.0000,Price Discount,1.0000,y
1156147,1005-Loy CamNew $1 OFF-18,Loy CamNew $1 OFF-18,4,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,18.0000,Price Discount,1.0000,y
1156148,1005-Loy CamNew $1 OFF-19,Loy CamNew $1 OFF-19,3,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,19.0000,Price Discount,1.0000,y
1156090,1005-Loy CamNew $1 OFF-2,Loy CamNew $1 OFF-2,20,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,2.0000,Price Discount,1.0000,y
1156149,1005-Loy CamNew $1 OFF-20,Loy CamNew $1 OFF-20,2,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,20.0000,Price Discount,1.0000,y
1156091,1005-Loy CamNew $1 OFF-3,Loy CamNew $1 OFF-3,19,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,3.0000,Price Discount,1.0000,y
1156092,1005-Loy CamNew $1 OFF-4,Loy CamNew $1 OFF-4,18,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,4.0000,Price Discount,1.0000,y
1156099,1005-Loy CamNew $1 OFF-5,Loy CamNew $1 OFF-5,17,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,5.0000,Price Discount,1.0000,y
1156100,1005-Loy CamNew $1 OFF-6,Loy CamNew $1 OFF-6,16,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,6.0000,Price Discount,1.0000,y
1156101,1005-Loy CamNew $1 OFF-7,Loy CamNew $1 OFF-7,15,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,7.0000,Price Discount,1.0000,y
1156102,1005-Loy CamNew $1 OFF-8,Loy CamNew $1 OFF-8,14,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,8.0000,Price Discount,1.0000,y
1156103,1005-Loy CamNew $1 OFF-9,Loy CamNew $1 OFF-9,13,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,9.0000,Price Discount,1.0000,y
1156150,1005-Loy CamNew $1.20 OFF-2,Loy CamNew $1.20 OFF-2,20,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,2.0000,Price Discount,1.2000,y
1156151,1005-Loy CamNew $1.20 OFF-3,Loy CamNew $1.20 OFF-3,19,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,3.0000,Price Discount,1.2000,y
1156170,1005-Loy CamNew $1.40 OFF-2,Loy CamNew $1.40 OFF-2,20,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,2.0000,Price Discount,1.4000,y
1156171,1005-Loy CamNew $1.40 OFF-3,Loy CamNew $1.40 OFF-3,19,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,3.0000,Price Discount,1.4000,y
1156152,1005-Loy CamNew $1.40 OFF-4,Loy CamNew $1.40 OFF-4,18,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,4.0000,Price Discount,1.4000,y
1156153,1005-Loy CamNew $1.40 OFF-5,Loy CamNew $1.40 OFF-5,17,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,5.0000,Price Discount,1.4000,y
1156430,1005-Loy CamNew $1.50 OFF-2,Loy CamNew $1.50 OFF,20,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,2.0000,Price Discount,1.5000,y
1156431,1005-Loy CamNew $1.50 OFF-3,Loy CamNew $1.50 OFF,19,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,3.0000,Price Discount,1.5000,y
1156154,1005-Loy CamNew $1.60 OFF-6,Loy CamNew $1.60 OFF-6,16,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,6.0000,Price Discount,1.6000,y
1156155,1005-Loy CamNew $1.60 OFF-7,Loy CamNew $1.60 OFF-7,15,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,7.0000,Price Discount,1.6000,y
1156411,1005-Loy CamNew $1.70 OFF-2,Loy CamNew $1.70 OFF,20,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,2.0000,Price Discount,1.7000,y
1156412,1005-Loy CamNew $1.70 OFF-3,Loy CamNew $1.70 OFF,19,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,3.0000,Price Discount,1.7000,y
1156172,1005-Loy CamNew $1.80 OFF-4,Loy CamNew $1.80 OFF-4,18,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,4.0000,Price Discount,1.8000,y
1156173,1005-Loy CamNew $1.80 OFF-5,Loy CamNew $1.80 OFF-5,17,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,5.0000,Price Discount,1.8000,y
1156156,1005-Loy CamNew $1.80 OFF-8,Loy CamNew $1.80 OFF-8,14,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,8.0000,Price Discount,1.8000,y
1156158,1005-Loy CamNew $1.80 OFF-9,Loy CamNew $1.80 OFF-9,13,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,9.0000,Price Discount,1.8000,y
1156372,1005-Loy CamNew $1.90 OFF-2,Loy CamNew $1.90 OFF,20,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,2.0000,Price Discount,1.9000,y
1156373,1005-Loy CamNew $1.90 OFF-3,Loy CamNew $1.90 OFF,19,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,3.0000,Price Discount,1.9000,y
1156363,1005-Loy CamNew $10 OFF-19,Loy CamNew $10 OFF,3,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,19.0000,Price Discount,10.0000,y
1156391,1005-Loy CamNew $10.00 OFF-20,Loy CamNew $10.00 OFF,2,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,20.0000,Price Discount,10.0000,y
1156322,1005-Loy CamNew $10.90 OFF-19,Loy CamNew $10.90 OFF,3,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,19.0000,Price Discount,10.9000,y
1156365,1005-Loy CamNew $11 OFF-20,Loy CamNew $11 OFF,2,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,20.0000,Price Discount,11.0000,y
1156323,1005-Loy CamNew $11.00 OFF-20,Loy CamNew $11.00 OFF,2,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,20.0000,Price Discount,12.0000,y
1156345,1005-Loy CamNew $2 OFF-2,Loy CamNew $2 OFF,20,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,2.0000,Price Discount,2.0000,y
1156346,1005-Loy CamNew $2 OFF-3,Loy CamNew $2 OFF,19,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,3.0000,Price Discount,2.0000,y
1156159,1005-Loy CamNew $2.00 OFF-10,Loy CamNew $2.00 OFF-10,12,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,10.0000,Price Discount,2.0000,y
1156160,1005-Loy CamNew $2.00 OFF-11,Loy CamNew $2.00 OFF-11,11,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,11.0000,Price Discount,2.0000,y
1156432,1005-Loy CamNew $2.00 OFF-4,Loy CamNew $2.00 OFF,18,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,4.0000,Price Discount,2.0000,y
1156433,1005-Loy CamNew $2.00 OFF-5,Loy CamNew $2.00 OFF,17,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,5.0000,Price Discount,2.0000,y
1156305,1005-Loy CamNew $2.10 OFF-2,Loy CamNew $2.10 OFF,20,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,2.0000,Price Discount,2.1000,y
1156306,1005-Loy CamNew $2.10 OFF-3,Loy CamNew $2.10 OFF,19,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,3.0000,Price Discount,2.1000,y
1156161,1005-Loy CamNew $2.20 OFF-12,Loy CamNew $2.20 OFF-12,10,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,12.0000,Price Discount,2.2000,y
1156162,1005-Loy CamNew $2.20 OFF-13,Loy CamNew $2.20 OFF-13,9,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,13.0000,Price Discount,2.2000,y
1156174,1005-Loy CamNew $2.20 OFF-6,Loy CamNew $2.20 OFF-6,16,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,6.0000,Price Discount,2.2000,y
1156175,1005-Loy CamNew $2.20 OFF-7,Loy CamNew $2.20 OFF-7,15,y,2018-11-01,2018-12-26,y,CAMEL NEWPORT LOYALTY,Quantity,7.0000,Price Discount,2.2000,y
