,,Common Item Properties,,,,,,,,,Tracking,,,,,,,,,Unit of Measure Conversions,,,,,,,,,,Selling,,,,,,,,,,,,,      Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Groups,,,,,,,,,
Item ExternalID,Purged in BC,Item Name*,Item Description*,SoldAs*,Category*,Base UOM Class*,Reported In UOM,Manufacturer,SKUNumber,Taxability*,,,,,,,,,,Conversion 1,,,,,Conversion 2,,,,,Base Properties,,,,,,Retail Packs,,,,,,,Attribute #1,,Attribute #2,,Attribute #3,,Attribute #4,,Attribute #5,,Attribute #6,,Attribute #7,,Attribute #8,,Attribute #9,,Attribute #10,,Attribute #11,,Attribute #12,,Attribute #13,,Attribute #14,,Attribute #15,,Attribute #16,,Attribute #17,,Attribute #18,,Attribute #19,,Attribute #20,,Attribute #21,,Attribute #22,,Attribute #23,,Attribute #24,,Attribute #25,,Attribute #26,,Attribute #27,,Attribute #28,,Attribute #29,,Attribute #30,,,,,,,,,,,
,,,,,,,,,,,Active*,Track*,Expense Upon Receiving,Allow Fractional Quantities,Set Variance to Zero,Waste Tolerence,Missing Tolerence,Default Adjustment UOM,Default Transfer UOM,From UOM,From Qty,To Class,To UOM,To Qty,From UOM,From Qty,To Class,To UOM,To Qty,Retail Strategry,Prompt for Qty at POS*,Auto Queue Shelf Label*,Requires Swipe at POS*,Credit Category,Shelf Label UOM,Pack Name*,Pack Qty*,Retail Level Group,External Id*,List Price*,Barcode Type*,Barcode Number*,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Item Group #1,Item Group #2,Item Group #3,Item Group #4,Item Group #5,Item Group #6,Item Group #7,Item Group #8,Item Group #9,Item Group #10
37003205,n,POTTERS VODKA 1.75ML,,g,401 03 001 Liquor,Count,,,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,1.75,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003205-1,88.88,u,_083103111088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003218,n,ROSEMOUNT DIAMOND SHIRAZ CAB 750ML,,g,401 02 001 Wine,Count,,TREASURY WINE ESTATES,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,750,,,,,,Alcohol,n,y,n,,,Each,1,Wine,37003218-1,88.88,u,_112894868014,Brand-***,ROSEMOUNT,Manufacturer-***,TREASURY WINE ESTATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003219,n,SEAGRAMS SEVEN CROWN 50ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,50,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003219-1,88.88,u,_870000032628,Brand-***,SEAGRAMS,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003220,n,SEAGRAMS SEVEN CROWN DRK HNY 750ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,750,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003220-1,88.88,u,_082000002543,Brand-***,SEAGRAMS,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003221,n,SMIRNOFF VODKA 80PF 50ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,50,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003221-1,88.88,u,_820001049026,Brand-***,SMIRNOFF,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003222,n,SMIRNOFF VODKA CITRUS TWST 375ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,375,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003222-1,88.88,u,_820000039394,Brand-***,SMIRNOFF,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003224,n,SMIRNOFF VODKA GRN APPLE TWST 375ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,375,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003224-1,88.88,u,_820000010416,Brand-***,SMIRNOFF,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003230,n,SMIRNOFF VODKA GRN APPLE TWST 750ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,750,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003230-1,88.88,u,_820007258248,Brand-***,SMIRNOFF,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003234,n,SMIRNOFF VODKA ICED CAKE 50ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,50,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003234-1,88.88,u,_820000033668,Brand-***,SMIRNOFF,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003238,n,SMIRNOFF VODKA ORANGE TWST 50ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,50,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003238-1,88.88,u,_820000039080,Brand-***,Smirnoff,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
