ItemExternalID,PurgeFlag,ItemName,ItemDescription,SoldAs,Category,BaseUOMClass,ReportedInUOM,Manufacturer,SKUNumber,Taxabililty,Active,Track,ExpenseUponReceiving,AllowFractionalQuantities,SetVarianceToZero,WasteTolerance,MissingTolerance,DefaultAdjustmentUOM,DefaultTransferUOM,ConvertFromUOMName1,ConvertFromUOMQty1,ConvertToUOMClass1,ConvertToUOMName1,ConvertToUOMQty1,ConvertFromUOMName2,ConvertFromUOMQty2,ConvertToUOMClass2,ConvertToUOMName2,ConvertToUOMQty2,RetailStrategy,PrompForQtyAtPOS,AutoQueueShelfLabel,RequiresSwipeAtPos,CreditCategoryCode,ShelfLabelUOM,PackName,PackQty,RetailLevelGroup,PackExternalId,ListPrice,BarcodeType,BarcodeNumber,attribute1,attribute_value1,attribute2,attribute_value2,attribute3,attribute_value3,attribute4,attribute_value4,attribute5,attribute_value5,attribute6,attribute_value6,attribute7,attribute_value7,attribute8,attribute_value8,attribute9,attribute_value9,attribute10,attribute_value10,attribute11,attribute_value11,attribute12,attribute_value12,attribute13,attribute_value13,attribute14,attribute_value14,attribute15,attribute_value15,attribute16,attribute_value16,attribute17,attribute_value17,attribute18,attribute_value18,attribute19,attribute_value19,attribute20,attribute_value20,attribute21,attribute_value21,attribute22,attribute_value22,attribute23,attribute_value23,attribute24,attribute_value24,attribute25,attribute_value25,attribute26,attribute_value26,attribute27,attribute_value27,attribute28,attribute_value28,attribute29,attribute_value29,attribute30,attribute_value30,group_name1,group_name2,group_name3,group_name4,group_name5,group_name6,group_name7,group_name8,group_name9,group_name10
123833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-Each,6,401 Beer 6-Pack,123833-6,12.99,,_,Beer Type-***,Malt Beverage (PAB),Flavor Type-***,Beer,Product Size-***,12oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124090,n,z-BACARDI O RUM 375ML-inactive,,g,401 04A 000 Liquor,Count,,401 Bacardi,,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,401 Misc,n,y,n,,,Each,1,401 Misc Liquor,124090-1,7.99,,_,Brand-***,401 Bacardi,Flavor Type-***,Liquor,LIQUOR PRODUCT GRPS-idc,BAC375  bacardi 375L fmly,Product Size-***,Misc Liquor,Product Type-***,401 Liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
124333,n,z-SIERRA NEVADA PORTR 6PK 12z NR-inactive,,g,401 01B 000 6 Pack,Count,,Sierra Nevada,,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,401 Beer,n,y,n,,,Each,1,401 Beer 6-Pack,124333-1,1.99,,_,BEER PRODUCT GRPS-idc,SIEALL  sierra fmly,Flavor Type-***,Beer,Manufacturer-***,Sierra Nevada,Product Size-***,12oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
124333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-Each,6,401 Beer 6-Pack,124333-6,6.99,,_,BEER PRODUCT GRPS-idc,SIEALL  sierra fmly,Flavor Type-***,Beer,Manufacturer-***,Sierra Nevada,Product Size-***,12oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121249,n,z-MICHELOB LT 20PK 12z LN-Inactive,,g,401 01G 000 20 Pack,Count,,401 Anheuser-Busch,,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,401 Beer,n,y,n,,,20-Each,20,401 Beer 20-Pack,121249-20,16.99,,_,BEER PRODUCT GRPS-idc,MCL20P  michelob 20p 12z ln fm,Brand-***,Michelob,Flavor Type-***,Beer,Product Size-***,12oz,Product Type-***,401 Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
125111,n,z-CAPTAIN MORGAN GOLD 6PK 12z NR-inactive,,g,401 01B 000 6 Pack,Count,,401 Captain,,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,401 Beer,n,y,n,,,Each,1,401 Beer 6-Pack,125111-1,1.99,,_,Brand-***,401 Captain Morgan,Flavor Type-***,Beer,LIQUOR PRODUCT GRPS-idc,CAPTMLQ  captain morgan fmly,Product Size-***,12oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
125111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-Each,6,401 Beer 6-Pack,125111-6,7.49,,_,Brand-***,401 Captain Morgan,Flavor Type-***,Beer,LIQUOR PRODUCT GRPS-idc,CAPTMLQ  captain morgan fmly,Product Size-***,12oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125600,n,BLACK VELVET 200ML,,g,401 04A 000 Liquor,Count,,401 United Distillers,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,401 Misc,n,y,n,,,Each,1,401 Misc Liquor,125600-1,2.33,u,_088100134580,Beer Type-***,Other,Brand-***,Black Velvet,Flavor Type-***,Whiskey,LIQUOR PRODUCT GRPS-idc,BLKVLLQ  black velvet fmly,Manufacturer-***,United Distillers,Product Size-***,200ml,Product Type-***,401 Liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
125600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,c,_8810013458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125609,n,ARROW PEPMT SCHNPPS 200ML,,g,401 04A 000 Liquor,Count,,Peppermint 401,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,401 Misc,n,y,n,,,Each,1,401 Misc Liquor,125609-1,1.99,u,_088352119151,Beer Type-***,Other,Brand-***,Schnapps,Flavor Type-***,Liquor,LIQUOR PRODUCT GRPS-idc,ARROWLQ  arrow fmly,Manufacturer-***,Peppermint,Product Size-***,Misc Liquor,Product Type-***,401 Liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
125609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,c,_8835211915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125642,n,BACARDI LIMON RUM 750ML,,g,401 04A 000 Liquor,Count,,401 Bacardi,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,401 Misc,n,y,n,,,Each,1,401 Misc Liquor,125642-1,13.95,u,_080480355401,Beer Type-***,Other,Brand-***,Limon Rum,Flavor Type-***,Liquor,LIQUOR PRODUCT GRPS-idc,BAC750  bacardi 750L fmly,Manufacturer-***,Bacardi,Product Size-***,750ml,Product Type-***,401 Liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
125642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,c,_8048035540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
