08-10-18T22:14:45: Start Log
08-10-18T22:14:45: Found Input File: Retail Item-601 Cigarettes_01.csv
08-10-18T22:14:45: Department: 601 Cigarettes
08-10-18T22:15:54: Item Rows: 2380
08-10-18T22:15:55: Item Rows: 2390
08-10-18T22:15:55: Item Rows: 2400
08-10-18T22:15:55: Item Rows: 2410
08-10-18T22:15:56: Item Rows: 2420
08-10-18T22:15:56: Item Rows: 2430
08-10-18T22:15:56: Item Rows: 2440
08-10-18T22:15:56: Item Rows: 2450
08-10-18T22:15:57: Item Rows: 2460
08-10-18T22:15:57: Item Rows: 2470
08-10-18T22:15:57: Item Rows: 2480
08-10-18T22:15:57: Item Rows: 2490
08-10-18T22:15:58: Item Rows: 2500
08-10-18T22:15:58: Item Rows: 2510
08-10-18T22:15:58: Item Rows: 2520
08-10-18T22:15:58: Item Rows: 2530
08-10-18T22:15:59: Item Rows: 2540
08-10-18T22:15:59: Item Rows: 2550
08-10-18T22:15:59: Item Rows: 2560
08-10-18T22:16:00: Item Rows: 2570
08-10-18T22:16:00: Item Rows: 2580
08-10-18T22:16:00: Item Rows: 2590
08-10-18T22:16:00: Item Rows: 2600
08-10-18T22:16:01: Item Rows: 2610
08-10-18T22:16:01: Item Rows: 2620
08-10-18T22:16:01: Item Rows: 2630
08-10-18T22:16:01: Item Rows: 2640
08-10-18T22:16:02: Item Rows: 2650
08-10-18T22:16:02: Item Rows: 2660
08-10-18T22:16:02: Item Rows: 2670
08-10-18T22:16:03: Item Rows: 2680
08-10-18T22:16:03: Item Rows: 2690
08-10-18T22:16:03: Item Rows: 2700
08-10-18T22:16:03: Item Rows: 2710
08-10-18T22:16:04: Item Rows: 2720
08-10-18T22:16:04: Item Rows: 2730
08-10-18T22:16:04: Item Rows: 2740
08-10-18T22:16:04: Item Rows: 2750
08-10-18T22:16:05: Item Rows: 2760
08-10-18T22:16:05: Item Rows: 2770
08-10-18T22:16:05: Item Rows: 2780
08-10-18T22:16:06: Item Rows: 2790
08-10-18T22:16:06: Item Rows: 2800
08-10-18T22:16:06: Item Rows: 2810
08-10-18T22:16:07: Item Rows: 2820
08-10-18T22:16:07: Item Rows: 2830
08-10-18T22:16:07: Item Rows: 2840
08-10-18T22:16:07: Item Rows: 2850
08-10-18T22:16:08: Item Rows: 2860
08-10-18T22:16:08: Item Rows: 2870
08-10-18T22:16:08: Item Rows: 2880
08-10-18T22:16:09: Item Rows: 2890
08-10-18T22:16:09: Item Rows: 2900
08-10-18T22:16:09: Item Rows: 2910
08-10-18T22:16:10: Item Rows: 2920
08-10-18T22:16:10: Item Rows: 2930
08-10-18T22:16:10: Item Rows: 2940
08-10-18T22:16:11: Item Rows: 2950
08-10-18T22:16:12: Item Rows: 2960
08-10-18T22:16:16: Item Rows: 2970
08-10-18T22:16:18: Item Rows: 2980
08-10-18T22:16:18: Item Rows: 2990
08-10-18T22:16:19: Item Rows: 3000
08-10-18T22:16:20: Item Rows: 3010
08-10-18T22:16:21: Item Rows: 3020
08-10-18T22:16:21: Item Rows: 3030
08-10-18T22:16:22: Item Rows: 3040
08-10-18T22:16:23: Item Rows: 3050
08-10-18T22:16:24: Item Rows: 3060
08-10-18T22:16:24: Item Rows: 3070
08-10-18T22:16:24: Item Rows: 3080
08-10-18T22:16:25: Item Rows: 3090
08-10-18T22:16:25: Item Rows: 3100
08-10-18T22:16:26: Item Rows: 3110
08-10-18T22:16:26: Item Rows: 3120
08-10-18T22:16:26: Item Rows: 3130
08-10-18T22:16:27: Item Rows: 3140
08-10-18T22:16:28: Item Rows: 3150
08-10-18T22:16:29: Item Rows: 3160
08-10-18T22:16:31: Item Rows: 3170
08-10-18T22:16:32: Item Rows: 3180
08-10-18T22:16:33: Item Rows: 3190
08-10-18T22:16:35: Item Rows: 3200
08-10-18T22:16:35: Item Rows: 3210
08-10-18T22:16:36: Item Rows: 3220
08-10-18T22:16:36: Item Rows: 3230
08-10-18T22:16:37: Item Rows: 3240
08-10-18T22:16:37: Item Rows: 3250
08-10-18T22:16:38: Item Rows: 3260
08-10-18T22:16:38: Item Rows: 3270
08-10-18T22:16:38: Item Rows: 3280
08-10-18T22:16:39: Item Rows: 3290
08-10-18T22:16:39: Item Rows: 3300
08-10-18T22:16:40: Item Rows: 3310
08-10-18T22:16:40: Item Rows: 3320
08-10-18T22:16:40: Item Rows: 3330
08-10-18T22:16:41: Item Rows: 3340
08-10-18T22:16:41: Item Rows: 3350
08-10-18T22:16:41: Item Rows: 3360
08-10-18T22:16:42: Item Rows: 3370
08-10-18T22:16:42: Item Rows: 3380
08-10-18T22:16:42: Item Rows: 3390
08-10-18T22:16:43: Item Rows: 3400
08-10-18T22:16:43: Item Rows: 3410
08-10-18T22:16:45: Item Rows: 3420
08-10-18T22:16:46: Item Rows: 3430
08-10-18T22:16:47: Item Rows: 3440
08-10-18T22:16:49: Item Rows: 3450
08-10-18T22:16:50: Item Rows: 3460
08-10-18T22:16:51: Item Rows: 3470
08-10-18T22:16:53: Item Rows: 3480
08-10-18T22:16:54: Item Rows: 3490
08-10-18T22:16:56: Item Rows: 3500
08-10-18T22:16:57: Item Rows: 3510
08-10-18T22:16:58: Item Rows: 3520
08-10-18T22:16:59: Item Rows: 3530
08-10-18T22:17:01: Item Rows: 3540
08-10-18T22:17:03: Item Rows: 3550
08-10-18T22:17:04: Item Rows: 3560
08-10-18T22:17:04: Item Rows: 3570
08-10-18T22:17:04: Item Rows: 3580
08-10-18T22:17:05: Item Rows: 3590
08-10-18T22:17:05: Item Rows: 3600
08-10-18T22:17:06: Item Rows: 3610
08-10-18T22:17:06: Item Rows: 3620
08-10-18T22:17:07: Item Rows: 3630
08-10-18T22:17:07: Item Rows: 3640
08-10-18T22:17:07: Item Rows: 3650
08-10-18T22:17:08: Item Rows: 3660
08-10-18T22:17:09: Item Rows: 3670
08-10-18T22:17:09: Item Rows: 3680
08-10-18T22:17:10: Item Rows: 3690
08-10-18T22:17:10: Item Rows: 3700
08-10-18T22:17:11: Item Rows: 3710
08-10-18T22:17:11: Item Rows: 3720
08-10-18T22:17:12: Item Rows: 3730
08-10-18T22:17:13: Item Rows: 3740
08-10-18T22:17:13: Item Rows: 3750
08-10-18T22:17:14: Item Rows: 3760
08-10-18T22:17:15: Item Rows: 3770
08-10-18T22:17:15: Item Rows: 3780
08-10-18T22:17:16: Item Rows: 3790
08-10-18T22:17:17: Item Rows: 3800
08-10-18T22:17:18: Item Rows: 3810
08-10-18T22:17:18: Item Rows: 3820
08-10-18T22:17:18: Item Rows: 3830
08-10-18T22:17:19: Item Rows: 3840
08-10-18T22:17:19: Item Rows: 3850
08-10-18T22:17:20: Item Rows: 3860
08-10-18T22:17:20: Item Rows: 3870
08-10-18T22:17:21: Item Rows: 3880
08-10-18T22:17:21: Item Rows: 3890
08-10-18T22:17:21: Item Rows: 3900
08-10-18T22:17:22: Item Rows: 3910
08-10-18T22:17:22: Item Rows: 3920
08-10-18T22:17:23: Item Rows: 3930
08-10-18T22:17:23: Item Rows: 3940
08-10-18T22:17:23: Item Rows: 3950
08-10-18T22:17:24: Item Rows: 3960
08-10-18T22:17:24: Item Rows: 3970
08-10-18T22:17:24: Item Rows: 3980
08-10-18T22:17:25: Item Rows: 3990
08-10-18T22:17:25: Item Rows: 4000
08-10-18T22:17:26: Item Rows: 4010
08-10-18T22:17:26: Item Rows: 4020
08-10-18T22:17:27: Item Rows: 4030
08-10-18T22:17:27: Item Rows: 4040
08-10-18T22:17:27: Item Rows: 4050
08-10-18T22:17:28: Item Rows: 4060
08-10-18T22:17:28: Item Rows: 4070
08-10-18T22:17:29: Item Rows: 4080
08-10-18T22:17:29: Item Rows: 4090
08-10-18T22:17:30: Item Rows: 4100
08-10-18T22:17:30: Item Rows: 4110
08-10-18T22:17:30: Item Rows: 4120
08-10-18T22:17:31: Item Rows: 4130
08-10-18T22:17:31: Item Rows: 4140
08-10-18T22:17:32: Item Rows: 4150
08-10-18T22:17:32: Item Rows: 4160
08-10-18T22:17:33: Item Rows: 4170
08-10-18T22:17:33: Item Rows: 4180
08-10-18T22:17:34: Item Rows: 4190
08-10-18T22:17:34: Item Rows: 4200
08-10-18T22:17:35: Item Rows: 4210
08-10-18T22:17:35: Item Rows: 4220
08-10-18T22:17:36: Item Rows: 4230
08-10-18T22:17:36: Item Rows: 4240
08-10-18T22:17:37: Item Rows: 4250
08-10-18T22:17:37: Item Rows: 4260
08-10-18T22:17:38: Item Rows: 4270
08-10-18T22:17:38: Item Rows: 4280
08-10-18T22:17:39: Item Rows: 4290
08-10-18T22:17:39: Item Rows: 4300
08-10-18T22:17:40: Item Rows: 4310
08-10-18T22:17:40: Item Rows: 4320
08-10-18T22:17:40: Item Rows: 4330
08-10-18T22:17:41: Item Rows: 4340
08-10-18T22:17:41: Item Rows: 4350
08-10-18T22:17:42: Item Rows: 4360
08-10-18T22:17:42: Item Rows: 4370
08-10-18T22:17:43: Item Rows: 4380
08-10-18T22:17:43: Item Rows: 4390
08-10-18T22:17:44: Item Rows: 4400
08-10-18T22:17:44: Item Rows: 4410
08-10-18T22:17:45: Item Rows: 4420
08-10-18T22:17:45: Item Rows: 4430
08-10-18T22:17:45: Item Rows: 4440
08-10-18T22:17:46: Item Rows: 4450
08-10-18T22:17:47: Item Rows: 4460
08-10-18T22:17:48: Item Rows: 4470
08-10-18T22:17:50: Item Rows: 4480
08-10-18T22:17:51: Item Rows: 4490
08-10-18T22:17:53: Item Rows: 4500
08-10-18T22:17:54: Item Rows: 4510
08-10-18T22:17:55: Item Rows: 4520
08-10-18T22:17:55: Item Rows: 4530
08-10-18T22:17:56: Item Rows: 4540
08-10-18T22:17:56: Item Rows: 4550
08-10-18T22:17:57: Item Rows: 4560
08-10-18T22:17:57: Item Rows: 4570
08-10-18T22:17:57: Item Rows: 4580
08-10-18T22:17:59: Item Rows: 4590
08-10-18T22:18:00: Item Rows: 4600
08-10-18T22:18:01: Item Rows: 4610
08-10-18T22:18:02: Item Rows: 4620
08-10-18T22:18:03: Item Rows: 4630
08-10-18T22:18:04: Item Rows: 4640
08-10-18T22:18:06: Item Rows: 4650
08-10-18T22:18:07: Item Rows: 4660
08-10-18T22:18:09: Item Rows: 4670
08-10-18T22:18:10: Item Rows: 4680
08-10-18T22:18:11: Item Rows: 4690
08-10-18T22:18:12: Item Rows: 4700
08-10-18T22:18:13: Item Rows: 4710
08-10-18T22:18:15: Item Rows: 4720
08-10-18T22:18:16: Item Rows: 4730
08-10-18T22:18:18: Item Rows: 4740
08-10-18T22:18:19: Item Rows: 4750
08-10-18T22:18:21: Item Rows: 4760
08-10-18T22:18:23: Item Rows: 4770
08-10-18T22:18:27: Item Rows: 4780
08-10-18T22:18:29: Item Rows: 4790
08-10-18T22:18:30: Item Rows: 4800
08-10-18T22:18:34: Item Rows: 4810
08-10-18T22:18:36: Item Rows: 4820
08-10-18T22:18:37: Item Rows: 4830
08-10-18T22:18:39: Item Rows: 4840
08-10-18T22:18:40: Item Rows: 4850
08-10-18T22:18:42: Item Rows: 4860
08-10-18T22:18:44: Item Rows: 4870
08-10-18T22:18:46: Item Rows: 4880
08-10-18T22:18:47: Item Rows: 4890
08-10-18T22:18:49: Item Rows: 4900
08-10-18T22:18:50: Item Rows: 4910
08-10-18T22:18:51: Item Rows: 4920
08-10-18T22:18:53: Item Rows: 4930
08-10-18T22:18:55: Item Rows: 4940
08-10-18T22:18:57: Item Rows: 4950
08-10-18T22:18:59: Item Rows: 4960
08-10-18T22:19:01: Item Rows: 4970
08-10-18T22:19:03: Item Rows: 4980
08-10-18T22:19:04: Item Rows: 4990
08-10-18T22:19:07: Item Rows: 5000
08-10-18T22:19:09: Item Rows: 5010
08-10-18T22:19:10: Item Rows: 5020
08-10-18T22:19:12: Item Rows: 5030
08-10-18T22:19:14: Item Rows: 5040
08-10-18T22:19:15: Item Rows: 5050
08-10-18T22:19:17: Item Rows: 5060
08-10-18T22:19:18: Item Rows: 5070
08-10-18T22:19:20: Item Rows: 5080
08-10-18T22:19:22: Item Rows: 5090
08-10-18T22:19:24: Item Rows: 5100
08-10-18T22:19:26: Item Rows: 5110
08-10-18T22:19:28: Item Rows: 5120
08-10-18T22:19:30: Item Rows: 5130
08-10-18T22:19:31: Item Rows: 5140
08-10-18T22:19:33: Item Rows: 5150
08-10-18T22:19:35: Item Rows: 5160
08-10-18T22:19:37: Item Rows: 5170
08-10-18T22:19:38: Item Rows: 5180
08-10-18T22:19:40: Item Rows: 5190
08-10-18T22:19:41: Item Rows: 5200
08-10-18T22:19:43: Item Rows: 5210
08-10-18T22:19:45: Item Rows: 5220
08-10-18T22:19:46: Item Rows: 5230
08-10-18T22:19:48: Item Rows: 5240
08-11-18T11:56:58: Finished Department: 601 Cigarettes
08-11-18T11:56:58: Total Items: 5236
08-11-18T11:56:58: File created in working xls folder: Retail Item-Retail Item-601 Cigarettes_01.xlsx
08-11-18T11:56:58: Moving file Retail Item-601 Cigarettes_01.csv to Archive 
08-11-18T11:57:00: Moved file Retail Item-601 Cigarettes_01.csv to Archive 
08-11-18T11:57:00: ...
08-11-18T11:57:00: End Log
